"Article Id",Department,"Department Id","Article Title",Answer,Topic,"Topic Id","Article Owner","Article Owner Id",Public,Status,"Created By","Created By Id","Modified By","Modified By Id","Created Time","Modified Time",Tags,"Seo Title","Seo Meta keywords","Seo Meta description",Language
11245000002878762,"Zenva Schools",11245000000136049,"Can I enable/disable Two-Factor Authentication (2FA) for my account?","<p>Two-Factor Authentication (2FA) is a popular feature that allows users to protect their data and provides an extra level of security for their accounts. While we <i>don&#39;t</i> have 2FA options available for student accounts, Schools Admins and Teachers can optionally turn 2FA on for their accounts.</p>
<p>When 2FA is enabled, every time you attempt to log in, you will also need to enter a one-time password that is automatically sent to your email. In so doing, you can ensure that no malicious entities can access your account with your email and password alone.</p>
<p>&nbsp;</p>
<h2 class=""toc_anchors"" id=""To_Turn_On_2FA"">To Turn On 2FA</h2>
<p>Teachers and School Admins can turn 2FA on for their accounts by:</p>
<ol>
<li>Logging in to their account</li>
<li>Clicking the My Account menu link</li>
<li>Selecting the <strong>Two-Factor Authentication</strong> option from the drop-down menu.<br /><br /><img src=""https://helpza.zenva.com/galleryDocuments/edbsn0165dfb4cd3a4e5b6becc620e1376fc7937e18b88326ebebd4f411bcaf90fadd37ed7c12e231e1a55e11962444cd917bffe9c948d3489a3fc191b3d5b717db7c?inline=true"" style=""padding: 0px; max-width: 100%; box-sizing: border-box; width: 403px; height: auto"" data-zdeskdocid=""img_7971821174676477"" class=""docsimage"" data-zdeskdocselectedclass=""original"" /><br /><br />
</li>
<li>Toggling the&nbsp;<strong>Email Authentication&nbsp;</strong>link to the&nbsp;<em>on position&nbsp;</em>(the circle will be on the right when on).<br /><br /><img src=""https://helpza.zenva.com/galleryDocuments/edbsn0165dfb4cd3a4e5b6becc620e1376fc7eb3b4ed41b8bcf0a40f3313bb165b8a0ebfe9e5282789bc20fbea5c2c800c6728eeb74648c1e6aa5b0b8449678dd2cb0?inline=true"" style=""padding: 0px; max-width: 100%; box-sizing: border-box"" /><br />
</li>
</ol>
<p>Once activated, you should get a confirmation pop-up letting you know that 2FA is now enabled.</p>
<p>&nbsp;</p>
<h2 class=""toc_anchors"" id=""To_Turn_Off_2FA"">To Turn Off 2FA</h2>
<p>At any time, Teachers and School Admins can also turn off 2FA by following the reverse steps of the above.</p>
<ol>
<li>Log in to your account</li>
<li>Click the My Account menu link</li>
<li>Select the <strong>Two-Factor Authentication</strong> option from the drop-down menu.</li>
<li>Toggling the <strong>Email Authentication&nbsp;</strong>link to the <em>off&nbsp;position </em>(the circle will be on the left when off).<br /><br /><img src=""https://helpza.zenva.com/galleryDocuments/edbsn0165dfb4cd3a4e5b6becc620e1376fc7448ccba934e400b67ca1772cc8e35917b8aafc483f0bff4d88856e05653bde15935a968bc9ceed46afb116778e24b19a?inline=true"" style=""padding: 0px; max-width: 100%; box-sizing: border-box"" /><br />
</li>
</ol>
<p>Similarly to turning 2FA on, you should also receive a confirmation pop-up indicating 2FA is deactivated.<br /><br /></p>
<h2 class=""toc_anchors"" id=""What_if_I_get_locked_out_of_my_account"">What if I get locked out of my account?</h2>
<p>If you lose access to your email, this means you will also be unable to log in to your Zenva Schools account. Should this happen, please contact our support team at your earliest convenience so we can help you restore access.</p>",FAQ,11245000002877974,Schardon,11245000000117001,true,Published,Farias,11245000000035001,Fermin,11245000003716755,"2022-09-05 20:27:19","2023-03-10 23:20:09",,,,,en
11245000002909035,"Zenva Schools",11245000000136049,"How much does Zenva Schools cost?","<p>For information on pricing, please review this page for the most up-to-date information:&nbsp;<a rel=""noopener noreferrer"" target=""_blank"" href=""https://schools.zenva.com/pricing/"">https://schools.zenva.com/pricing/</a></p><div><br /></div>",FAQ,11245000002877974,Schardon,11245000000117001,true,Published,Farias,11245000000035001,Schardon,11245000000117001,"2022-06-02 20:32:45","2022-12-09 08:04:18",,,,,en
11245000002909137,"Zenva Schools",11245000000136049,"What age/year levels is Zenva Schools appropriate for?","<p>While age appropriateness varies from course to course, we offer content suitable for Years 3-12.</p>
<p>You can review our complete content collection via <a rel=""noopener noreferrer"" target=""_self"" href=""https://schools.zenva.com/content/"">this page</a> and use our Grades / Year Levels filter to see what content is available.<br /><br /><img src=""https://helpza.zenva.com/galleryDocuments/edbsn0165dfb4cd3a4e5b6becc620e1376fc7f5542aa9a2ab18a2552ec700adae3961c0f5ca4e5207be16f11427dcc8bc89b2504a4a08f2c3f856fd784e2c7c2160f4?inline=true"" style=""padding: 0px; max-width: 100%; box-sizing: border-box"" /><br /></p>
<p></p>",FAQ,11245000002877974,Schardon,11245000000117001,true,Published,Farias,11245000000035001,Fermin,11245000003716755,"2022-05-04 19:29:10","2023-03-10 23:20:45",,,,,en
11245000002909239,"Zenva Schools",11245000000136049,"Submitting Platform Feedback and Feature Requests","<p>We&#39;re always happy to hear from schools and teachers about how we can improve our services. So, if you have feedback or feature requests for Zenva Schools, we&#39;d love to hear all about it! <br /></p><div>Please simply send us a ticket via our help desk, and our customer service team will connect the information with the right team. :)<br /></div>
<p>While we cannot guarantee we&#39;ll act on every piece of feedback or every request, we take all information of this sort seriously, and sincerely appreciate you taking the time to contact us.</p><div><br /></div>",FAQ,11245000002877974,Schardon,11245000000117001,true,Published,Farias,11245000000035001,Schardon,11245000000117001,"2022-05-04 17:41:14","2022-12-09 07:57:05",,,,,en
11245000002909273,"Zenva Schools",11245000000136049,"Is Zenva Schools compatible with any LMS or third-party learning platforms?","<p>At this time, Zenva Schools not does sync with any Learning Management System (LMS) or any third-party learning platforms (such as Google Classroom). While we will be looking into these features in the future, this ability is currently not available.</p><div><br /></div>",FAQ,11245000002877974,Schardon,11245000000117001,true,Published,Farias,11245000000035001,Schardon,11245000000117001,"2022-05-04 15:35:05","2023-01-04 05:40:52",,,,,en
11245000002909307,"Zenva Schools",11245000000136049,"What domains does my school need to allow?","<p>While we&#39;ve been proactive in making sure our platform is not likely to be blacklisted, occasionally our services do still get blocked - particularly at an individual school level. This can include the whole site being blocked, or certain features such as our videos, our live coding lessons, or similar being blocked.</p>
<p>If you are blocked from our site, or simply want to proactively make sure you don&#39;t get blocked, the best solution is to contact the principal of your school or your school&#39;s IT department. In general, they will have the most power in making sure you can access our content smoothly.</p>
<p>As a helpful note regardless of the situation, your school will need to allow all the following domains in order for our platform to work:</p>
<ul>
<li>
<a rel=""noopener noreferrer"" href=""https://schools.zenva.com/"">https://schools.zenva.com</a> (Marketing Website)</li>
<li>
<a rel=""noopener noreferrer"" href=""http://login.zenva.com/"">http://login.zenva.com/</a> (Login Domain)</li>
<li>
<a rel=""noopener noreferrer"" href=""https://app1.zenva.com/"">https://app1.zenva.com/</a> (Zenva Schools App)</li>
<li>
<a rel=""noopener noreferrer"" href=""https://glot.zenva.com/"">https://glot.zenva.com/</a> (Live coding snippets)</li>
<li>
<a rel=""noopener noreferrer"" href=""https://mp.zenva.com/"">https://mp.zenva.com</a> (Product analytics)</li>
<li>
<a rel=""noopener noreferrer"" href=""https://zavideoplatform.streaming.mediaservices.windows.net/"">https://zavideoplatform.streaming.mediaservices.windows.net</a>&nbsp;(Video streaming 1)</li>
<li>
<a rel=""noopener noreferrer"" href=""https://zavideoplatform.keydelivery.eastus.media.azure.net/"">https://zavideoplatform.keydelivery.eastus.media.azure.net</a> &nbsp;(Video streaming 2)</li>
<li>
<a rel=""noopener noreferrer"" href=""https://zalargeprojectfiles.blob.core.windows.net/"">https://zalargeprojectfiles.blob.core.windows.net/</a> (Heavy course files)</li>
</ul>
<p>In addition, some of the live coding snippets and interactive activities that are embedded in the lessons are loaded from external services that also needed to be whitelisted:</p>
<ul>
<li><a rel=""noopener noreferrer"" href=""https://trinket.io/"" target=""_blank"">trinket.io</a></li>
<li><a rel=""noopener noreferrer"" href=""http://jsbin.com/"">jsbin.com</a></li>
<li><a rel=""noopener noreferrer"" href=""http://scratch.mit.edu/"">scratch.mit.edu</a></li>
<li><a rel=""noopener noreferrer"" href=""http://replit.com/"">replit.com</a></li>
<li>
<a rel=""noopener noreferrer"" href=""https://embeds.zenva.com/"">https://embeds.zenva.com/</a>&nbsp;</li>
</ul>",FAQ,11245000002877974,Schardon,11245000000117001,true,Published,Farias,11245000000035001,Schardon,11245000000117001,"2022-04-27 21:01:10","2023-01-04 05:42:39",,,,,en
11245000002909375,"Zenva Schools",11245000000136049,"How do I request courses from Zenva Academy to be accessible on Zenva Schools?","<p>Zenva Schools has a very specialized selection of our best courses that are suited to various curriculum standards across the globe. However, we understand different educators have different needs, and some courses from our <a rel=""noopener noreferrer"" target=""_blank"" href=""https://academy.zenva.com/"">Zenva Academy</a> platform may be well-suited to your classroom.</p>
<p>While we can&#39;t accommodate every course request, we are willing to investigate and consider adding any course from Zenva Academy to Zenva Schools.</p>
<p>&nbsp;</p>
<p><strong>In order to request a course from Zenva Academy to be added, we require three things:</strong></p>
<ul>
<li>You must thoroughly review the course on Zenva Academy first to be sure that you will use it in your classroom.</li>
<li>You must be part of a registered school on the Zenva Schools platform.</li>
<li>You must formally submit your request via our helpdesk.</li>
</ul>
<p>Once we receive your request, we will evaluate the course for several factors and let you know if we will add the course or not. As mentioned, some courses we may not choose to add for various reasons, including appropriateness for the Zenva Schools platform or a course containing too much outdated content for a school setting.</p><div>Additionally, even in cases where we choose to add a course, we may choose to add it to our <a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-do-i-access-an-unlisted-course"" target=""_blank"">Additional Courses catalog</a> instead - which means we will not create any form of curriculum mapping for that course.<br /></div><div><br /></div><div>Regardless, we are dedicated to providing teachers the tools they need, so we take all requests seriously and are more than happy to investigate any such course request.</div><div><br /></div>",FAQ,11245000002877974,Schardon,11245000000117001,true,Published,Farias,11245000000035001,Schardon,11245000000117001,"2022-04-27 20:37:28","2022-12-27 01:00:40",,,,,en
11245000002909458,"Zenva Schools",11245000000136049,"School Set Up Overview","<p>For School Admins, getting Zenva Schools set up and ready for teaching is quick and easy!&nbsp;<br /></p><div><span style="""">Just follow these four simple steps and start teaching in minutes:&nbsp;</span><br /></div>
<p>&nbsp;</p>
<h3>1. Explore the course library</h3>
<p>Check out our <a rel=""noopener noreferrer"" target=""_self"" href=""https://schools.zenva.com/courses/""><strong>Courses</strong></a> page for a full list of courses! You can easily filter them by topic and grade/year level, so you can easily find the perfect course for your students.&nbsp;</p>
<p>&nbsp;</p>
<h3>2. Invite your colleagues</h3>
<p>You can <a rel=""noopener noreferrer"" target=""_self"" href=""https://schools.zenva.com/teachers/""><strong>invite other teachers</strong></a> at your school to the platform - they can create classrooms, add their students, and access reports.&nbsp;</p>
<p>&nbsp;</p>
<h3>3. Create your first classroom</h3>
<p>It&#39;s easy to <a rel=""noopener noreferrer"" target=""_self"" href=""https://schools.zenva.com/classrooms/""><strong>create online classrooms</strong></a> - in them, you can add students, assign courses, and print off student access cards that will reduce setup time in class.&nbsp;</p>
<p>&nbsp;</p>
<h3>4. Create student accounts</h3>
<p><a rel=""noopener noreferrer"" target=""_self"" href=""https://schools.zenva.com/school-students/""><strong>Add your students</strong></a> one at a time, or quickly copy and paste them from Excel or Google Sheets.</p>
<p>&nbsp;</p>
<p><em>Need some help getting started, or have a few questions? <strong>Send us a message</strong> and we&#39;ll help you out!&nbsp;</em></p><div><br /></div>",FAQ,11245000002877974,Schneider,11245000000254012,true,Published,Farias,11245000000035001,Schardon,11245000000117001,"2022-03-12 09:25:38","2023-02-04 01:49:50",,,,,en
11245000002909745,"Zenva Schools",11245000000136049,"Platform and Software Requirements","<h2 class=""toc_anchors"" id=""Platform_Requirements"">Platform Requirements</h2>
<p>To access Zenva Schools&#39; courses, a user needs a modern web browser and an internet connection that is fast enough to stream online videos. You can access courses on desktops, laptops, and mobile devices. Internet connection speeds can be as low as&nbsp;<span style=""color: rgb(23, 43, 77); font-size: 14px"">378 Kbps to work.</span></p>
<p>It is worth noting that your school&#39;s IT department will also need to allow the domains listed in this article in order for our courses to work: <a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/what-domains-does-my-school-need-to-allow"" target=""_self"">What domains does my school need to allow?</a></p>
<p>&nbsp;</p>
<h2 class=""toc_anchors"" id=""Software_Requirements"">Software Requirements</h2>
<h3 class=""toc_anchors"" id=""Finding_the_Software_Requirements"">Finding the Software Requirements</h3>
<p>All Zenva Schools users can watch videos and complete coding exercises with popular software. Most of the software is free, but a few require a license. Depending on the course, users may need to download software to their devices.</p>
<p>To see the specific software requirements of a course, Teachers or the School Admin should:</p>
<ol>
<li>Log in to their account.</li>
<li>Hover <a rel=""noopener noreferrer"" href=""https://schools.zenva.com"" target=""_blank"">Courses</a> on the top menu.</li>
<li>Click All Courses<br /><br /><img src=""https://helpza.zenva.com/galleryDocuments/edbsn0165dfb4cd3a4e5b6becc620e1376fc73e274c1752987e5359d0a5038d2928f0f68e73d5ecc7fa49d9c435cb18d283a578240937dcb413c82c1f9ab6df27e4b7?inline=true"" style=""padding: 0px; max-width: 100%; box-sizing: border-box; width: 1278px; height: auto"" data-zdeskdocid=""img_2532708937380037"" class=""docsimage"" data-zdeskdocselectedclass=""original"" /><br /></li>
</ol>
<p></p>
<ol start=""4"">
<li>Click a course image.</li>
<li>On the course page, click OVERVIEW.<br /><br /><img src=""https://helpza.zenva.com/galleryDocuments/edbsn0165dfb4cd3a4e5b6becc620e1376fc79243c6644db03daa1a923baec2dda4b7e62fb8bc0fa3d918673ca5a3055a47db4c2b74924478d69d9cbeee6c4b46d4fd?inline=true"" style=""padding: 0px; max-width: 100%; box-sizing: border-box; width: 614.5px; height: auto"" data-zdeskdocid=""img_5628260756990788"" class=""docsimage"" data-zdeskdocselectedclass=""best"" /><br /></li>
</ol>
<p></p>
<ol start=""6"">
<li>Scroll down to Course Requirements, where we describe any requirements for the course if present.<br /><br /><img src=""https://helpza.zenva.com/galleryDocuments/edbsn0165dfb4cd3a4e5b6becc620e1376fc774b0416b57633b2e9d42d73cc9d9d6b4c5942a44ba6dd258f6f45f6ef0b43647371594738c765c6641ea2ca4f1b8253d?inline=true"" style=""padding: 0px; max-width: 100%; box-sizing: border-box"" /><br /></li></ol>
<p>&nbsp;</p><h3 id=""General_Overview"" class=""toc_anchors"">General Overview<br /></h3>
<p>While you are encouraged to follow the steps above to find the requirements for each course individually, some general requirements can be found below to give you an idea.<br /><br /></p>
<h4>General Operating System Compatibility</h4>
<ol><li style=""list-style-type: disc"">To work along with the courses, students are expected to have access to Windows 10/11 or macOS. Chrome OS can work with many courses - however, it is not compatible with Unity, Unreal Engine, and Blender-based courses.</li></ol>
<h4><br />Scratch Courses</h4>
<ol><li style=""list-style-type: disc"">The <a rel=""noopener noreferrer"" href=""https://scratch.mit.edu"" target=""_self"">Scratch coding platform</a> can be accessed using any web browser, and it is free to use.</li></ol>
<h4><br />Introductory Python Courses</h4>
<ul>
<li>
<a rel=""noopener noreferrer"" href=""https://www.python.org/"" target=""_blank"">Python</a> 3.8 or later, and a code editor (<a rel=""noopener noreferrer"" href=""https://code.visualstudio.com/"" target=""_blank"">Visual Studio Code</a>&nbsp;or Python&#39;s built-in IDLE editor are good choices we recommend).</li>
<li>Alternatively, an online editor like<a rel=""noopener noreferrer"" href=""https://replit.com/"" target=""_blank""> Replit</a>&nbsp;or <a rel=""noopener noreferrer"" target=""_blank"" href=""https://trinket.io/"">Trinket</a> can be used.</li>
</ul>
<p>Python and Visual Studio Code are free and open source. If needed, information on installing them can be found here:<br /></p><div><ul style=""padding: 0px; margin: 0px 0px 0px 15px; outline: 0px; box-sizing: border-box; overflow-wrap: break-word; color: rgb(84, 87, 105); font-size: 16px""><li><a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-visual-studio-code-for-windows-17-11-2022""><strong>Visual Studio Code (Windows)</strong></a></li><li><a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-visual-studio-code-for-mac-17-11-2022""><strong>Visual Studio Code (Mac)</strong></a></li><li><a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-python-on-windows""><b>Python (Windows)</b></a></li><li><a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-python-on-mac""><strong>Pytho</strong><strong>n</strong><strong> (Mac)</strong></a></li></ul></div>
<h4><br />Python Data Science Courses</h4>
<ul>
<li>
<a rel=""noopener noreferrer"" href=""https://www.python.org/"" target=""_blank"">Python</a> 3.6 or later, and any code editor. Additional libraries can be installed directly into Python, or the <a rel=""noopener noreferrer"" href=""https://www.anaconda.com/"" target=""_blank"">Anaconda</a> free Python environment.</li>
<li>Alternatively, an online editor<a rel=""noopener noreferrer"" href=""https://replit.com/"" target=""_blank""> Replit</a>&nbsp;can be used in most cases.</li>
</ul>
<p>Python and Anaconda are free. If needed, information on installing them can be found here:&nbsp;<br /></p><div><ul><li><strong><a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-anaconda-23-11-2022-1"">Anaconda</a></strong></li><li><a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-python-on-windows""><b>Python (Windows)</b></a></li><li><a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-python-on-mac""><strong>Pytho</strong><strong>n</strong><strong>&nbsp;(Mac)</strong></a><br /></li></ul><div><br /></div></div>
<h4>Unity Courses</h4>
<ol><li style=""list-style-type: disc"">Current LTS version of <a rel=""noopener noreferrer"" href=""https://unity.com/"" target=""_blank"">Unity.</a> Unity is free for school usage - for more information, see <a rel=""noopener noreferrer"" href=""https://unity.com/products/unity-education-grant-license"" target=""_self"">here</a>.<br /></li></ol><div>If needed, information on installing Unity can be found here: <a rel=""noopener noreferrer"" target=""_blank"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-unity"">How to Install Unity</a></div><div><div><ol><br /></ol>
<h4>HTML, CSS, &amp; JavaScript Courses</h4>
<ul>
<li>A code editor (free <a rel=""noopener noreferrer"" href=""https://code.visualstudio.com/"" target=""_blank"">Visual Studio Code</a> is recommended) and a web browser.</li>
<li>Alternatively, an online editor like <a rel=""noopener noreferrer"" target=""_blank"" href=""https://jsbin.com/"">JS Bin</a> or<a rel=""noopener noreferrer"" href=""https://replit.com/"" target=""_blank"">&nbsp;Replit</a>&nbsp;can be used.</li>
</ul>
<h4><span style=""font-weight: 400"">If needed, information on installing Visual Studio Code can be found here:</span><br /></h4><ul style=""padding: 0px; margin: 0px 0px 0px 15px; outline: 0px; box-sizing: border-box; overflow-wrap: break-word; color: rgb(84, 87, 105); font-size: 16px""><li><a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-visual-studio-code-for-windows-17-11-2022""><strong>Visual Studio Code (Windows)</strong></a></li><li><a rel=""noopener noreferrer"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-visual-studio-code-for-mac-17-11-2022""><strong>Visual Studio Code (Mac)</strong></a></li></ul><h4><br /></h4><h4>Blender Courses<br /></h4>
<ul>
<li>
<a rel=""noopener noreferrer"" href=""https://www.blender.org/"" target=""_blank"">Blender</a> 2.9 or later. Blender is free and open source.<br /></li></ul><div>If needed, information on installing Blender can be found here:&nbsp;<a rel=""noopener noreferrer"" target=""_blank"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-blender-17-11-2022"">How to Install Blender</a></div><ul>
<br /></ul>
<h4>Photoshop Courses</h4>
<ul>
<li>
<a rel=""noopener noreferrer"" href=""https://www.adobe.com/products/photoshop.html"" target=""_blank"">Photoshop CC</a>, which requires a subscription to the Adobe Creative Cloud. For more information for schools, see <a rel=""noopener noreferrer"" href=""https://www.adobe.com/au/creativecloud/buy/students.html"" target=""_self"">here</a>.</li>
</ul>
<h4><br />Excel Courses</h4>
<ul>
<li>
<a rel=""noopener noreferrer"" href=""https://www.microsoft.com/en-us/microsoft-365/excel"" target=""_blank"">Microsoft Excel 2019 or later</a>. Microsoft Excel is part of the Microsoft Office suite of products. For more information see <a rel=""noopener noreferrer"" href=""https://www.office.com/"" target=""_self"">here</a>.</li>
</ul>
<h4><br />Godot Courses</h4>
<ol><li style=""list-style-type: disc"">The <a rel=""noopener noreferrer"" href=""https://godotengine.org/"" target=""_self"">Godot game engine</a> is required for these courses. Godot is free and open source.</li></ol>
<h4><span style=""font-weight: 400"">If needed, information on installing Godot can be found here:&nbsp;<a rel=""noopener noreferrer"" target=""_blank"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-godot-17-11-2022"">How to Install Godot</a></span></h4><h4><br />Unreal Engine Courses</h4>
<ol><li style=""list-style-type: disc""><a rel=""noopener noreferrer"" href=""https://www.unrealengine.com/en-US"" target=""_self"">Unreal Engine 5</a> is required for these courses. Unreal Engine is free for schools to use - for more information, see <a rel=""noopener noreferrer"" href=""https://www.unrealengine.com/en-US/educators"" target=""_self"">here</a>.</li></ol>
<h4><span style=""font-weight: 400"">If needed, information on installing Unreal Engine can be found here:&nbsp;<a rel=""noopener noreferrer"" target=""_blank"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-unreal-engine"">How to Install Unreal Engine</a></span></h4><h4><br />Roblox Courses<br /></h4>
<ol><li style=""list-style-type: disc""><a rel=""noopener noreferrer"" href=""https://www.roblox.com/create"" target=""_self"">Roblox Studio</a> is required for these courses. Roblox Studio is completely free.</li></ol></div></div><div>If needed, information on installing Roblox Studio can be found here:&nbsp;<a rel=""noopener noreferrer"" target=""_blank"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-install-roblox-studio-17-11-2022"">How to Install Roblox Studio</a></div>",FAQ,11245000002877974,Fermin,11245000003716755,true,Published,Farias,11245000000035001,Fermin,11245000003716755,"2022-03-10 21:45:40","2023-03-10 23:22:30",,,,,en
11245000002909949,"Zenva Schools",11245000000136049,"Types of User Accounts","<p>Each person with a Zenva Schools account has one of three user roles. These roles determine what capabilities the user has, and ensures only the required features are available to each role. <br /></p><div>Below, we will outline these roles and what they can do.<br /></div>
<p>&nbsp;</p>
<h2 class=""toc_anchors"" id=""School_Admin"">School Admin</h2>
<p>The School Admin is the primary manager of their school&#39;s Zenva Schools account. As such, the School Admin has full permissions for the site. They can do everything, including:</p>
<ul>
<li><a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-edit-school-details"">Editing school details</a></li>
<li>Adding <a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-add-school-students"">students</a>, <a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-add-school-teachers"">teachers</a>, and <a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-create-a-classroom"">classrooms</a>
</li>
<li>Deleting or deactivating <a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-remove-school-students"">students</a> and&nbsp;<a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-remove-school-teachers"">teachers</a>
</li>
<li>
<a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-archive-a-classroom"">Archiving</a> or <a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-delete-a-classroom"">deleting</a> classrooms</li>
</ul>
<p>Each school can have only one School Admin.</p>
<p>&nbsp;</p>
<h2 id=""Teacher"" class=""toc_anchors"">Teacher</h2>
<p>Teachers can do many of the same things School Admins can, including:</p>
<ul>
<li>Adding <a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-add-school-students"">students</a>&nbsp;and <a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-create-a-classroom"">classrooms</a>
</li>
<li><a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-remove-school-students"">Deactivating students</a></li>
<li><a rel=""noopener noreferrer"" target=""_self"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-archive-a-classroom"">Archiving classrooms</a></li>
</ul>
<p>Teachers, however, cannot add teachers, edit school details, or perform any permanent deletions for school account data (such as student accounts).</p>
<p>Each school can have multiple registered teachers.</p>
<p>&nbsp;</p>
<h3 class=""toc_anchors"" id=""Student"">Student</h3>
<p>This account role lets the user access course content assigned to their classroom by the teacher. Students can watch the video lessons, <a rel=""noopener noreferrer"" target=""_blank"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-access-course-files"">access course files</a>, <a rel=""noopener noreferrer"" target=""_blank"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-access-lesson-notes"">read course notes</a>, check their progress, and <a rel=""noopener noreferrer"" target=""_blank"" href=""https://helpzs.zenva.com/portal/en/kb/articles/how-to-access-certificates-of-completion"">collect a course certificate</a> upon completion.</p><div><br /></div>",FAQ,11245000002877974,Schardon,11245000000117001,true,Published,Farias,11245000000035001,Schardon,11245000000117001,"2022-03-09 19:01:22","2023-02-04 01:52:28",,,,,en
